condition_id,name,market_name,yes_token_id,no_token_id
0x0e5a27334244a00baa67a520cdf9404684d2e6fb3610bd8f1d918cc7faec0903,DK,Will the Democratic Coalition (DK) win the most seats in the next Hungarian parliamentary election?,37654263301652169455218962004270870247868994865836101066625038864863642356316,44269988183361244992510124244246605132457836717209610747424699388443853291206
0xfcde02af15efe40e336d67f0ef9aa49e9d40c37b92961fb890afc4afdbfe54d6,TISZA,Will TISZA – Respect and Freedom Party (TISZA) win the most seats in the next Hungarian parliamentary election?,61963573353880265694358880181512412652951688509792017552668784297365342759317,111152780649996205982553203207944259422420032287038821800558281705730727362744
0x13496fa2338f07e366c573f3e274ba4966fdffcb8dd76d5aea98d35ac36ae783,LMP,Will LMP – Hungary’s Green Party (LMP) win the most seats in the next Hungarian parliamentary election?,70502362111037557690872376093830156080180966461780810463183055982822634657262,75269111922284627734537279206896483540956683816637285619383407108550865234871
0xfb923c5072c6dd6487b21313c764a888ee736dc886ffdd5adeedc52e513d900f,MSZP,Will the Hungarian Socialist Party (MSZP) win the most seats in the next Hungarian parliamentary election?,26344788795933151633161150081578456204082483782223329869729946340061735203256,21444210566797845534573954706998363289340016614737227712156077537826720378977
0x0258f47973df582d7e9b659ce402024ceb3354376d95c1ba035c89f0f161357c,Momentum,Will the Momentum Movement (Momentum) win the most seats in the next Hungarian parliamentary election?,33701066276383305269517075379512794589524111386609901148067785771510122210214,41253930337363811719163997438055249029676041183246361954681253799664523046577
0xc0cb9ecebd7cc0c9db22a4f409e451e76522819e339330c803766891b0b22c0d,Mi Hazánk,Will Our Homeland Movement (Mi Hazánk) win the most seats in the next Hungarian parliamentary election?,30593102304610128263937128634262685426886243180598323141854441703455746504615,55880020842281172979099943778642126288142438068922521524402026784744618866066
0xa312499c150a1ca94b788c99f6ae721cbbdfda7679b5d25580fe79d514fdb930,Fidesz-KDNP,Will Fidesz–KDNP win the most seats in the next Hungarian parliamentary election?,81548019791840902517287112193384358135389303980460339107425376112037459333655,60429181916537414977280644869591198674637927849363751739424668129720113189410
0x0d5e405a7ad802309508d4f2bc3c04b8d6e6e3b6f632dd91b94f5995f3aae630,Párbeszéd,Will Dialogue for Hungary (Párbeszéd) win the most seats in the next Hungarian parliamentary election?,93953210425001630882390558717433145795369934633177193647737909000045852063346,21110280704452505817780141811781357467555774028962558839103723407923180154652
0x4adf64232c8b91900e0b48a81d68b3f08c0e0c57da9bc575b890dee39df219ae,Jobbik,Will Movement for a Better Hungary (Jobbik) win the most seats in the next Hungarian parliamentary election?,30849933191316686435782664908401890804163810081470441695928144220535231269695,52007040390240268041235785750806922647862387092936200192192228912357135484566
0x814cccd741cec4b0d042acb0e67101c7c9585af01c10373cd44414b118331ec6,KDNP,Will the Christian Democratic People’s Party (KDNP) win the most seats in the next Hungarian parliamentary election?,22662725037098818983291780163969341890772637829907188327093453342843727361849,11443330989721920473862823191930334275670329074701762721207194983527350623367
